timestamp,total_io_read,total_io_write
2018-08-23T09:07:25.047566,61.76M,0B
2018-08-23T09:07:26.057764,124.25M,0B
2018-08-23T09:07:27.164849,192.56M,0B
2018-08-23T09:07:28.271288,256.55M,0B
2018-08-23T09:07:29.286027,304.54M,7.6M
2018-08-23T09:07:30.296322,306.18M,49.56M
2018-08-23T09:07:31.374438,306.18M,100.78M
2018-08-23T09:07:32.386522,306.18M,150.93M
2018-08-23T09:07:33.392666,306.18M,201.82M
2018-08-23T09:07:34.537059,306.18M,254.31M
2018-08-23T09:07:35.671462,306.18M,311.43M
2018-08-23T09:07:36.809144,306.18M,366.01M
2018-08-23T09:07:37.959794,306.22M,421.21M
2018-08-23T09:07:39.022561,306.67M,459.88M
2018-08-23T09:07:40.067244,306.67M,459.88M
2018-08-23T09:07:41.071001,306.67M,459.88M
2018-08-23T09:07:42.095501,306.67M,459.88M
2018-08-23T09:07:43.100679,306.67M,459.88M
2018-08-23T09:07:44.114104,306.67M,459.88M
2018-08-23T09:07:45.116180,306.67M,459.88M
2018-08-23T09:07:46.126927,306.67M,459.88M
